iter	Passed	Remaining
443	1245	1559
444	1247	1555
445	1248	1551
446	1249	1546
447	1250	1541
448	1252	1536
449	1253	1531
450	1261	1535
451	1262	1530
452	1263	1525
453	1264	1520
454	1265	1515
455	1266	1510
456	1267	1505
457	1268	1500
458	1269	1496
459	1275	1497
460	1277	1493
461	1278	1488
462	1279	1484
463	1281	1479
464	1282	1475
465	1283	1470
466	1284	1465
467	1290	1466
468	1291	1462
469	1292	1457
470	1293	1452
471	1294	1448
472	1295	1443
473	1296	1438
474	1297	1434
475	1298	1429
476	1299	1424
477	1300	1420
478	1304	1418
479	1305	1414
480	1306	1409
481	1307	1404
482	1308	1400
483	1309	1395
484	1310	1391
485	1317	1393
486	1318	1389
487	1319	1384
488	1320	1380
489	1321	1375
490	1322	1371
491	1323	1367
492	1324	1362
493	1326	1358
494	1333	1360
495	1335	1356
496	1336	1352
497	1337	1348
498	1338	1343
499	1339	1339
500	1340	1335
501	1349	1338
502	1350	1334
503	1351	1330
504	1352	1325
505	1353	1321
506	1354	1317
507	1355	1313
508	1356	1308
509	1358	1305
510	1360	1301
511	1361	1297
512	1362	1293
513	1363	1289
514	1365	1285
515	1366	1281
516	1367	1277
517	1368	1273
518	1375	1274
519	1376	1270
520	1377	1266
521	1378	1262
522	1379	1258
523	1380	1254
524	1382	1250
525	1383	1246
526	1384	1242
527	1391	1243
528	1392	1239
529	1393	1235
530	1394	1231
531	1395	1227
532	1396	1224
533	1398	1220
534	1399	1216
535	1402	1213
536	1404	1210
537	1405	1207
538	1406	1203
539	1407	1199
540	1408	1195
541	1409	1191
542	1410	1187
543	1411	1183
544	1413	1179
545	1415	1176
546	1422	1178
547	1423	1174
548	1424	1170
549	1425	1166
550	1427	1162
551	1428	1159
552	1429	1155
553	1441	1160
554	1443	1157
555	1444	1153
556	1447	1150
557	1448	1147
558	1449	1143
559	1454	1143
560	1455	1139
561	1457	1135
562	1458	1132
563	1459	1128
564	1462	1126
565	1469	1126
566	1471	1123
567	1472	1119
568	1473	1115
569	1474	1112
570	1476	1109
571	1478	1106
572	1480	1103
573	1481	1099
574	1483	1096
575	1485	1093
576	1486	1089
577	1487	1085
578	1488	1082
579	1489	1078
580	1491	1075
581	1492	1071
582	1493	1068
583	1494	1064
584	1499	1063
585	1500	1059
586	1501	1056
587	1502	1052
588	1503	1049
589	1505	1045
590	1506	1042
591	1506	1038
592	1507	1034
593	1508	1031
594	1514	1031
595	1516	1027
596	1516	1024
597	1518	1020
598	1520	1017
599	1521	1014
600	1522	1010
601	1523	1007
602	1524	1003
603	1529	1002
604	1531	999
605	1532	996
606	1534	993
607	1535	990
608	1537	986
609	1538	983
610	1547	985
611	1549	982
612	1550	979
613	1552	975
614	1553	972
615	1554	968
616	1555	965
617	1557	962
618	1562	961
619	1563	958
620	1565	955
621	1566	951
622	1567	948
623	1568	945
624	1569	941
625	1571	938
626	1572	935
627	1578	935
628	1580	932
629	1581	928
630	1582	925
631	1583	922
632	1584	918
633	1585	915
634	1586	912
635	1587	908
636	1593	908
637	1595	905
638	1596	901
639	1597	898
640	1599	895
641	1600	892
642	1601	889
643	1602	885
644	1612	887
645	1614	884
646	1615	881
647	1616	877
648	1617	874
649	1618	871
650	1619	868
651	1620	864
652	1629	865
653	1630	862
654	1631	859
655	1632	855
656	1633	852
657	1634	849
658	1635	846
659	1636	842
660	1637	839
661	1645	840
662	1646	836
663	1647	833
664	1648	830
665	1649	827
666	1650	824
667	1651	820
668	1652	817
669	1661	818
670	1662	815
671	1663	811
672	1664	808
673	1665	805
674	1666	802
675	1667	799
676	1676	800
677	1678	796
678	1679	793
679	1680	790
680	1681	787
681	1682	784
682	1683	781
683	1684	778
684	1692	778
685	1693	775
686	1694	772
687	1696	769
688	1697	766
689	1698	762
690	1708	764
691	1710	761
692	1711	758
693	1712	755
694	1713	752
695	1715	749
696	1716	746
697	1725	746
698	1727	743
699	1728	740
700	1729	737
701	1731	734
702	1732	731
703	1733	728
704	1735	726
705	1742	725
706	1744	722
707	1746	720
708	1748	717
709	1749	714
710	1758	714
711	1760	711
712	1761	708
713	1762	705
714	1763	702
715	1764	700
716	1765	697
717	1766	693
718	1768	690
719	1772	689
720	1773	686
721	1775	683
722	1776	680
723	1777	677
724	1778	674
725	1779	671
726	1780	668
727	1781	665
728	1788	664
729	1790	662
730	1791	659
731	1792	656
732	1793	653
733	1794	650
734	1795	647
735	1796	644
736	1803	643
737	1806	641
738	1807	638
739	1808	635
740	1809	632
741	1810	629
742	1811	626
743	1813	623
744	1821	623
745	1822	620
746	1823	617
747	1824	614
748	1825	611
749	1826	608
750	1827	605
751	1837	605
752	1838	603
753	1839	600
754	1840	597
755	1842	594
756	1843	591
757	1851	591
758	1852	588
759	1854	585
760	1855	582
761	1856	579
762	1857	576
763	1858	573
764	1859	571
765	1861	568
766	1862	565
767	1863	562
768	1864	560
769	1865	557
770	1872	556
771	1875	554
772	1877	551
773	1878	548
774	1879	545
775	1880	542
776	1881	539
777	1891	539
778	1892	537
779	1894	534
780	1895	531
781	1896	528
782	1907	528
783	1909	525
784	1910	523
785	1912	520
786	1921	520
787	1922	517
788	1923	514
789	1925	511
790	1927	509
791	1936	508
792	1938	505
793	1939	503
794	1940	500
795	1942	497
796	1943	495
797	1952	494
798	1953	491
799	1954	488
800	1956	486
801	1957	483
802	1958	480
803	1961	478
804	1967	476
805	1969	473
806	1970	471
807	1970	468
808	1971	465
809	1972	462
810	1973	459
811	1974	457
812	1975	454
813	1983	453
814	1984	450
815	1985	447
816	1986	445
817	1988	442
818	1989	439
819	1990	436
820	2001	436
821	2002	433
822	2003	430
823	2004	428
824	2005	425
825	2006	422
826	2016	421
827	2017	419
828	2018	416
829	2019	413
830	2020	410
831	2021	408
832	2023	405
833	2024	402
834	2025	400
835	2026	397
836	2027	394
837	2029	392
838	2031	389
839	2032	387
840	2040	385
841	2041	383
842	2043	380
843	2044	377
844	2045	375
845	2047	372
846	2048	370
847	2057	368
848	2058	366
849	2059	363
850	2060	360
851	2061	358
852	2063	355
853	2064	352
854	2065	350
855	2073	348
856	2074	346
857	2075	343
858	2077	340
859	2078	338
860	2079	335
861	2080	333
862	2087	331
863	2089	328
864	2090	326
865	2092	323
866	2093	321
867	2094	318
868	2095	315
869	2097	313
870	2104	311
871	2105	309
872	2107	306
873	2108	304
874	2109	301
875	2111	298
876	2119	297
877	2121	294
878	2122	292
879	2123	289
880	2125	287
881	2126	284
882	2127	281
883	2128	279
884	2136	277
885	2139	275
886	2140	272
887	2141	270
888	2142	267
889	2151	265
890	2153	263
891	2154	260
892	2155	258
893	2156	255
894	2157	253
895	2158	250
896	2167	248
897	2169	246
898	2170	243
899	2172	241
900	2173	238
901	2183	237
902	2185	234
903	2186	232
904	2187	229
905	2188	227
906	2191	224
907	2196	222
908	2198	220
909	2207	218
910	2209	215
911	2211	213
912	2212	210
913	2213	208
914	2214	205
915	2221	203
916	2224	201
917	2226	198
918	2227	196
919	2228	193
920	2234	191
921	2239	189
922	2240	186
923	2241	184
924	2242	181
925	2243	179
926	2245	176
927	2247	174
928	2249	171
929	2250	169
930	2251	166
931	2252	164
932	2253	161
933	2254	159
934	2263	157
935	2267	155
936	2270	152
937	2280	150
938	2282	148
939	2283	145
940	2284	143
941	2286	140
942	2287	138
943	2300	136
944	2301	133
945	2303	131
946	2317	129
947	2323	127
948	2325	124
949	2328	122
950	2331	120
951	2342	118
952	2345	115
953	2346	113
954	2349	110
955	2352	108
956	2353	105
957	2354	103
958	2355	100
959	2356	98
960	2358	95
961	2359	93
962	2360	90
963	2362	88
964	2363	85
965	2364	83
966	2365	80
967	2366	78
968	2368	75
969	2369	73
970	2370	70
971	2371	68
972	2378	65
973	2379	63
974	2380	61
975	2382	58
976	2383	56
977	2384	53
978	2385	51
979	2386	48
980	2396	46
981	2398	43
982	2399	41
983	2400	39
984	2401	36
985	2403	34
986	2405	31
987	2411	29
988	2413	26
989	2415	24
990	2416	21
991	2417	19
992	2418	17
993	2419	14
994	2426	12
995	2429	9
996	2430	7
997	2431	4
998	2432	2
999	2433	0
